GAP,(h0-h1)/rd,h0+h1,h2,rs,w0,w1,rd
0.1606272718,0.8957783562,66.1376266626,0.953919998,54.4708080031,32.5795271157,34.5433290141,2.0130110311
0.211451343,0.8653306902,61.9281659313,0.866188968,56.4381489255,33.2073604615,34.9654210079,2.8228192307
0.2076832312,1.1999999638,61.7676126015,0.197189401,110.2201425869,32.9637576146,38.3403464447,2.3110744899
0.2136610512,0.9233335043,66.1996314535,0.9260728671,122.6044374625,33.9024085993,35.4410330176,2.1185610474
0.384261781,0.9941108456,64.5489739007,0.8443293324,186.3835506624,30.806797773,41.733714063,2.9899278999
0.1973818667,0.9281865677,65.081010829,0.7667262379,84.6312571057,32.2228076294,33.0922571958,2.7942939784
0.1801399438,1.0877048023,65.3300003661,0.9062236444,63.986114363,33.3812544147,33.3516078772,2.2515465256
0.2177861809,1.199999904,60.5148804684,0,86.4472585312,33.0442565053,42,2
0.2715647844,0.8510584313,65.7349825821,0.9553974188,143.7013001172,34.5317145562,41.7518075029,2.0516319462
0.2322931089,1.1999989947,63.7059562808,1,200,33.7000161716,42,2
0.2606235599,0.8589598825,66.3769180739,0.9875383253,186.6174741941,34.4691293549,37.0142362564,2.0128295916
0.1505302862,1.0751420147,66.0774440644,0.0153303795,79.8585903545,33.1985186962,34.7369992247,2.0491951648
0.2142294979,0.8000000684,62.157215295,0.1029917718,96.0248269137,33.237621654,35.516579132,2.8477463601
0.4088643521,0.9554466637,61.4709498496,0.0104959102,56.5435206326,35.5803495855,40.6615323751,2.9864671483
0.2053661621,0.9329492583,66.3521864344,0.164340746,64.956328961,31.7880714514,39.258822513,2.0470967843
0.1940495338,0.84401867,66.2670030795,0.0390984369,100.9550437104,34.5892472875,33.6183747426,2.012965642
0.2655401558,1.0100472063,64.0549143562,0.0128120682,148.6610857375,32.5551373274,41.8344080558,2.9983994896
0.2119873668,1.0625717148,61.4954716838,0.0162125925,75.2653576797,32.8245335815,37.4468916108,2.9222254476
0.7882055029,1.108953964,59.1050158299,0.9461809682,193.5203513339,35.7687666865,37.3479696032,2.0209251903
0.205530095,1.1999999811,64.5966821508,0.9717824566,50.9789240721,33.0678465313,34.2567177651,2.7208785598
0.175005067,1.1576227711,65.7080627137,0.5455422088,115.8091972185,33.0719621411,36.8837313369,2.0888612598
0.2320661991,1.0795292799,65.9188614669,0.2589445758,196.20355967,34.1483560313,41.554104096,2.2592431267
0.1818666289,1.0486268208,66.116423161,0.8247228053,85.3343548108,33.608330431,34.9651068377,2.0427694211
0.1664689295,0.9053967176,66.3094401129,0.0004593444,73.7113153805,32.74038438,37.3490356366,2.0953748184
0.2533983427,0.8000000598,59.0840628027,0.6762212552,89.4447551662,34.1885029979,35.3352034847,2.985187105
0.172467872,1.0253359374,65.7128997701,0.0443432914,154.2781828603,33.3280301584,34.8190550585,2.2301061007
0.2382457176,1.16149578,64.5867527282,0.032936733,59.7170010456,31.5686176764,38.7174460834,2.9836153415
0.2672879558,1.1999999199,59.501423051,0.3642354557,199.8044116933,34.3679141033,38.6642566712,2.9635822239
0.2069206643,0.8000000265,66.3678102758,0.9619189713,95.4185323797,32.5799375806,36.1403674001,2.3732131199
0.2331943984,1.1186203354,65.3856883027,0.8563133135,180.8431114519,33.2883481149,41.8513964431,2.2764247804
0.182266995,0.8467177773,66.5388689884,0.2524625942,160.4346702938,33.9185702337,34.1801249964,2.0172430655
0.2578630926,0.8000000021,58.189913501,0.5752861337,168.2845348287,34.3112651926,36.9838724805,2.58498726
0.2186282419,0.8000000435,66.7599999131,0.9656268163,144.8778763703,32.8995196034,39.5275488864,2
0.1982799087,0.8122557254,65.280554576,0.0181719807,198.3868471137,34.3567299984,33.6471767531,2.5217765774
0.19127098,1.0500037062,60.074097187,0.0064941612,61.2159148399,34.2376013416,38.5685266549,2.0775451017
0.2504931758,0.9505951454,63.7749309099,0.5962854949,196.3057785276,32.6372741109,40.7609239248,2.0104978213
0.2979375461,0.8000000002,66.7599999995,0.8645428965,200,34.6314342738,42,2
0.2347403123,0.9137737877,65.5818764851,0.0063566187,179.2121582241,34.5308889789,33.7925408068,2.8797831219
0.2909950634,1.1750564013,65.5122703919,0.119972231,123.9150549712,31.9465837398,41.9702853292,2.3842202396
0.2250257658,1.1868881379,61.3790500069,0.8211891269,81.5291555148,33.0197176581,33.6894666953,2.9098960348
0.4830333926,0.9064510651,64.6397954241,0.042412656,192.3573852365,35.5927153568,41.7073825749,2.827799995
0.2218337687,0.8602848682,65.3771628631,0.9116638348,58.3851306538,30.9991846653,34.2799498898,2.8910118704
0.2283165908,1.1999999512,59.9208720662,0.0407994733,186.0504952202,34.3900911396,36.4175903696,2.9629761177
0.1997893305,1.1664348281,63.958485649,0.0149281993,165.5249774779,32.4984600713,33.85036687,2.8632284019
0.1746022261,0.800000842,62.3590032739,0.0161504165,53.4134289853,33.137756782,38.8701569458,2.1662341458
0.2109739224,0.800000472,60.7292242452,0.3708066979,50,33.2231242396,35.2577332082,3
0.1879326881,0.8600716607,65.5998148578,0.0129778988,52.8990100377,33.7944826695,34.6976655226,2.6759553767
0.868764608,1.1304564345,60.7618154023,0.9929155287,66.9104390595,31.8425885933,41.8790911483,2.9964014636
0.2460868704,1.1999997603,59.922726275,0.9487953138,135.9969257447,33.7928223203,38.3372473873,2.680594986
